iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"759,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","20,657,090,305.26","6.84","20,657,090,305.26","136,539,694.00","151.29","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","16,260,139,668.50","5.38","16,260,139,668.50","67,407,925.00","241.22","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","7,541,509,742.10","2.50","7,541,509,742.10","80,109,515.00","94.14","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","5,280,185,821.23","1.75","5,280,185,821.23","54,194,661.00","97.43","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","5,069,396,804.00","1.68","5,069,396,804.00","16,312,900.00","310.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,739,637,781.20","1.57","4,739,637,781.20","48,462,554.00","97.80","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,480,848,960.00","1.48","4,480,848,960.00","8,454,432.00","530.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,337,805,046.14","1.44","4,337,805,046.14","24,073,506.00","180.19","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","4,221,946,899.84","1.40","4,221,946,899.84","37,669,048.00","112.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","4,187,174,688.20","1.39","4,187,174,688.20","23,763,761.00","176.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","3,547,557,954.08","1.17","3,547,557,954.08","26,505,962.00","133.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","3,487,434,836.86","1.15","3,487,434,836.86","22,632,454.00","154.09","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","3,115,209,567.20","1.03","3,115,209,567.20","14,778,034.00","210.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","3,079,214,171.27","1.02","3,079,214,171.27","21,597,911.00","142.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","2,978,498,768.61","0.99","2,978,498,768.61","16,276,839.00","182.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,909,233,308.94","0.96","2,909,233,308.94","9,289,333.00","313.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","2,650,475,072.11","0.88","2,650,475,072.11","7,711,819.00","343.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","2,578,036,563.82","0.85","2,578,036,563.82","7,128,146.00","361.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","2,476,716,627.42","0.82","2,476,716,627.42","15,980,879.00","154.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","2,446,566,586.10","0.81","2,446,566,586.10","50,727,070.00","48.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
